Date,Total_Gas_to_Power_Demand
2016-10-03,56.519333698695085
2016-10-04,67.27129404795603
2016-10-05,65.18068671413165
2016-10-06,77.33474549947455
2016-10-07,77.28741789463665
2016-10-08,73.01085827714022
2016-10-09,73.60861358093062
2016-10-10,84.88287208026871
2016-10-11,85.40438365930753
2016-10-12,83.53829305685744
2016-10-13,83.46118766021667
2016-10-14,79.85494044738812
2016-10-15,64.8631521602976
2016-10-16,51.537523965448756
2016-10-17,69.12076786736596
2016-10-18,69.46429021919296
2016-10-19,80.58723239597524
2016-10-20,82.60917371627878
2016-10-21,79.6578038322347
2016-10-22,73.10567253716472
2016-10-23,64.29157144776055
2016-10-24,84.6466959914691
2016-10-25,85.39381499236092
2016-10-26,80.35732660039739
2016-10-27,73.5645598288742
2016-10-28,83.07499330052923
2016-10-29,77.5396981445332
2016-10-30,70.64070678283802
2016-10-31,80.80879321580251
2016-11-01,79.22254792512878
2016-11-02,87.80723184915009
2016-11-03,86.63690374825718
2016-11-04,78.0929756427954
2016-11-05,52.208774806164406
2016-11-06,55.43180947645842
2016-11-07,84.79725224102174
2016-11-08,87.26584376053492
2016-11-09,85.22277597440434
2016-11-10,86.19052175233018
2016-11-11,79.87920562866398
2016-11-12,75.38405777466433
2016-11-13,73.99915010559415
2016-11-14,80.10866033626604
2016-11-15,78.32949017032333
2016-11-16,72.69116543733783
2016-11-17,76.34749369565871
2016-11-18,83.57215758610022
2016-11-19,73.5367435275852
2016-11-20,77.40613668256638
2016-11-21,77.55863946176625
2016-11-22,83.07159189559263
2016-11-23,87.39607075546567
2016-11-24,85.13772382237308
2016-11-25,84.72983301466101
2016-11-26,81.39543622761383
2016-11-27,73.79884372629849
2016-11-28,87.57554387476497
2016-11-29,94.37669387254444
2016-11-30,89.06570492600066
2016-12-01,94.57097221275014
2016-12-02,100.5486570926222
2016-12-03,80.10191088487322
2016-12-04,76.55743689458426
2016-12-05,104.83083926895605
2016-12-06,93.90787774217088
2016-12-07,79.71249068297263
2016-12-08,87.93823366670622
2016-12-09,72.29098315536962
2016-12-10,68.50362579019924
2016-12-11,75.89631766999622
2016-12-12,101.39937954885289
2016-12-13,94.89682409674802
2016-12-14,93.44505689752151
2016-12-15,93.01476213612501
2016-12-16,95.96157278172564
2016-12-17,74.80589590115
2016-12-18,75.7713185616985
2016-12-19,96.72121256338053
2016-12-20,83.98301126073999
2016-12-21,75.921670478343
2016-12-22,71.09688052493482
2016-12-23,51.923286792230336
2016-12-24,40.822380599969556
2016-12-25,28.36212328128686
2016-12-26,39.55060245188549
2016-12-27,65.94490921022201
2016-12-28,70.19132257170908
2016-12-29,67.14981633246704
2016-12-30,63.0247475873303
2016-12-31,50.697038618324356
2017-01-01,48.26123566236659
2017-01-02,68.97607320373302
2017-01-03,76.30110256534769
2017-01-04,90.42661120728933
2017-01-05,93.73077773292952
2017-01-06,86.81209718720832
2017-01-07,80.89145859344607
2017-01-08,71.97434460300836
2017-01-09,71.3163439754404
2017-01-10,73.93183917471367
2017-01-11,63.65860212261555
2017-01-12,74.72767075174953
2017-01-13,70.21485620173628
2017-01-14,69.06953529959728
2017-01-15,69.12872248119496
2017-01-16,99.57638412950811
2017-01-17,100.57909266872733
2017-01-18,97.28824808292809
2017-01-19,98.65206659219388
2017-01-20,91.2122735970898
2017-01-21,83.22519410193664
2017-01-22,85.35931283043332
2017-01-23,91.9113455278872
2017-01-24,85.84092318320606
2017-01-25,77.77643807424036
2017-01-26,82.50034858615317
2017-01-27,81.10884953013057
2017-01-28,74.99604242018529
2017-01-29,77.7183046622806
2017-01-30,84.8432451655079
2017-01-31,84.63663029632541
2017-02-01,65.50618169386333
2017-02-02,51.59745930805552
2017-02-03,51.19337303459028
2017-02-04,49.62874646464599
2017-02-05,55.614121976380055
2017-02-06,63.942581028549924
2017-02-07,74.34196317671464
2017-02-08,79.29097029471356
2017-02-09,84.0305082495831
2017-02-10,83.76832864373313
2017-02-11,57.57857117330628
2017-02-12,49.679273270793395
2017-02-13,59.295402604378836
2017-02-14,80.67726355235
2017-02-15,78.9000090351211
2017-02-16,68.76727483260936
2017-02-17,76.12407427874194
2017-02-18,54.12749445578741
2017-02-19,49.11380465658463
2017-02-20,57.55186583015255
2017-02-21,56.17518504210589
2017-02-22,60.31771704510877
2017-02-23,59.71913191967654
2017-02-24,73.65516908279427
2017-02-25,51.69369802647132
2017-02-26,42.34259649069817
2017-02-27,78.87613587065617
2017-02-28,77.58735082828152
2017-03-01,82.05970724167092
2017-03-02,67.19297786734226
2017-03-03,77.04905835773654
2017-03-04,57.62321421825778
2017-03-05,58.89522345413362
2017-03-06,81.22103697370643
2017-03-07,78.12117215864171
2017-03-08,64.64421760173603
2017-03-09,70.19350012283135
2017-03-10,73.90893881724477
2017-03-11,65.89138005000116
2017-03-12,58.86714499152851
2017-03-13,62.74461872604097
2017-03-14,57.675611885603175
2017-03-15,66.18027538250502
2017-03-16,55.98593882864883
2017-03-17,48.21234941252585
2017-03-18,44.11581833119792
2017-03-19,37.847997284600545
2017-03-20,51.122823067258366
2017-03-21,65.45355014040348
2017-03-22,69.21413853847723
2017-03-23,66.75854633440002
2017-03-24,66.94083232593022
2017-03-25,53.85150348864327
2017-03-26,51.34782772865641
2017-03-27,76.49242744845112
2017-03-28,76.32903963117118
2017-03-29,65.77742590430148
2017-03-30,56.32054402281168
2017-03-31,51.58528986598226
2017-04-01,52.01132211391181
2017-04-02,50.777651436873185
2017-04-03,58.708721841163054
2017-04-04,67.07238018365814
2017-04-05,69.73136589692648
