date,column,livesheet,code,difference
2024-01-27,LDZ,719.5590158503115,492.29,227.26901585031152
2024-01-28,LDZ,719.2330325450786,466.24,252.99303254507856
2024-01-29,LDZ,748.797605665698,469.25,279.54760566569803
2024-01-30,LDZ,751.8313973805926,536.75,215.08139738059265
2024-01-31,LDZ,764.5078693140827,553.7,210.8078693140826
2024-02-01,LDZ,753.3796191164694,557.04,196.3396191164694
2024-02-02,LDZ,706.5364756056869,575.69,130.8464756056868
2024-02-03,LDZ,601.8345436732835,629.82,27.98545632671653
2024-02-04,LDZ,582.3065270570911,618.28,35.97347294290887
2024-02-05,LDZ,644.6469611011297,610.78,33.86696110112973
2024-02-06,LDZ,645.6616972857416,689.19,43.528302714258416
2024-02-07,LDZ,691.0696737498648,677.56,13.509673749864874
2024-02-08,LDZ,707.7236229577259,635.95,71.77362295772582
2024-02-09,LDZ,632.9865068952994,601.49,31.496506895299376
2024-02-10,LDZ,567.804926331202,621.3,53.495073668798
2024-02-11,LDZ,585.9502825138882,560.19,25.760282513888114
2024-02-12,LDZ,675.9191486525082,550.43,125.48914865250822
2024-02-13,LDZ,695.2332331966519,592.95,102.28323319665185
2024-02-14,LDZ,619.6862316394322,593.55,26.136231639432253
2024-02-15,LDZ,549.3964885866196,600.86,51.46351141338039
2024-02-16,LDZ,546.7679381219908,623.07,76.30206187800923
2024-02-17,LDZ,509.47975203252287,621.89,112.41024796747712
2024-02-18,LDZ,510.34174770993366,549.65,39.30825229006632
2024-02-19,LDZ,583.3483352781348,540.18,43.168335278134805
2024-02-20,LDZ,601.7730175348513,589.2,12.57301753485126
2024-02-21,LDZ,603.2267702640636,554.45,48.77677026406354
2024-02-22,LDZ,622.6664094346361,504.63,118.03640943463608
2024-02-23,LDZ,689.8980173316322,447.7,242.19801733163223
2024-02-24,LDZ,670.4185682142556,427.13,243.28856821425563
2024-02-25,LDZ,658.4226064915665,421.98,236.4426064915665
2024-02-26,LDZ,745.2155456639306,409.98,335.23554566393057
2024-02-27,LDZ,734.5158997863473,441.86,292.6558997863473
2024-02-28,LDZ,688.491095519977,424.68,263.81109551997696
2024-02-29,LDZ,654.0441692440868,404.18,249.86416924408678
2024-03-01,LDZ,674.1618510044693,409.5,264.6618510044693
2024-03-02,LDZ,605.8917925579525,415.47,190.42179255795247
2024-03-03,LDZ,595.1970170724264,446.11,149.08701707242642
2024-03-04,LDZ,644.5086141095325,478.61,165.89861410953245
2024-03-05,LDZ,643.6334213190318,523.42,120.2134213190318
2024-03-06,LDZ,653.5666899295232,509.87,143.69668992952325
2024-03-07,LDZ,670.5344448171235,518.48,152.05444481712345
2024-03-08,LDZ,667.4729571096755,522.35,145.12295710967544
2024-03-09,LDZ,590.2127521938459,450.24,139.97275219384585
2024-03-10,LDZ,585.2208554289192,377.09,208.13085542891923
2024-03-11,LDZ,642.6642224075532,367.2,275.4642224075532
2024-03-12,LDZ,607.0074189698212,392.22,214.78741896982115
2024-03-13,LDZ,556.7657820356778,421.71,135.05578203567785
2024-03-14,LDZ,496.9144349682129,422.26,74.65443496821291
2024-03-15,LDZ,474.78933969984655,390.42,84.36933969984653
2024-03-16,LDZ,462.4995797520213,325.58,136.91957975202132
