1,Slovakia_Austria,Russia_NordStream_Germany,Norway_Europe,Netherlands_Production,GB_Production,LNG_Total,Algeria_Italy,Libya_Italy,Spain_France,Denmark_Germany,Czech_Poland_Germany,Austria_Hungary_Export,Slovenia_Austria,MAB_Austria,TAP_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2024-01-26,24.72406530406326,0.0,323.0550183070712,28.685879382900897,81.82,252.7929597135261,38.728578073272104,4.973367576695233,-4.9529948705211275,1.371634943127632,-15.430347656205296,0.0,-1.3211895408250394,-4.85535860799998,24.587765445219727,1.3718167611211538,7.320392418769002,10.416552848650515,773.2881400988653
2024-01-27,22.69243104445189,0.0,320.7961453176521,28.349425185889004,88.45,236.42972099394126,38.3292603050001,3.48776002432853,-0.18763616931438445,0.12499987054616213,-11.601442530632019,-0.11854533177614213,-1.501889353686571,-5.511903382606804,25.021592268662154,1.3763622109591962,7.424010493277013,10.40788013035953,763.9681710770511
2024-01-28,23.002430723406373,0.0,320.1220574161269,24.543065491512415,90.55,234.24022700008155,38.330405758359284,3.489341840872169,1.8583617117851974,0.7969991746023297,-11.955169437028468,-0.11881805876642465,-1.577089275807142,-5.247449111029506,24.99896501936838,1.3727258510887623,7.418737771464884,10.361452905713767,762.1862447817504
2024-01-29,23.19143052767217,0.0,316.38976742904856,27.281062655955555,95.10999999999999,268.64684293614556,40.359803656650335,6.936438270949572,-2.2258158766925336,0.8065446192622184,-8.874172627806663,-0.1008180774077773,-1.7668527156457303,-6.322175270736217,25.182383011233064,1.3772713009268045,7.383837807608396,10.524861827391387,803.9004094745547
2024-01-30,23.47933932041377,0.0,317.90506682600085,26.93188119939715,89.06000000000002,262.9323479636148,56.28329625668451,5.981275623782724,-5.158085567213595,0.8974536160230636,-14.873075506061316,-0.2946360585018993,-1.762098175115138,-1.9399979908764362,24.81344702967852,1.3736349410563706,7.364519645796716,10.3655074469693,803.3598765716494
2024-01-31,23.463884790964425,0.0,310.3656663510606,33.84541949406266,90.92999999999999,252.12073236219288,63.28205264491364,5.948248385259509,-6.493811456620693,0.7046356338933111,-12.957259308323264,0.0,-1.535352955394238,-4.026268557541073,24.420320164085926,1.3045441035181282,7.419801406726987,9.94757151616067,798.7401845749594
2024-02-01,24.17652041657269,0.0,322.76841416192946,46.47613368602097,91.54,267.8632792413346,64.08188818021492,3.960923170669377,-4.067450333073735,0.0,-16.234528641551734,-0.06845447456091643,-2.2098886204600334,-1.7112709550261498,25.597491672242434,1.3090895533561708,7.456692277612538,10.241743938779084,841.1805832740599
2024-02-02,24.20888401941955,0.0,319.322326298856,45.510134686440225,91.04,256.7285113139749,54.9102067696087,3.9702777064360677,-3.340996539957821,0.0,-16.2371650024578,-0.18254526549577713,-1.8977071255832911,-2.1944522728100417,25.515528120762855,1.30363501355052,7.412274141795188,10.476761877205222,816.5456737417444
2024-02-03,23.398248495303093,0.0,300.6712389222622,47.38449638165533,91.06,229.71445140360964,38.7687598498404,2.977669643503427,-1.4245439792424441,0.0,-16.916618844248354,-0.41745411312580105,-2.1994795403309166,-2.2739067359790206,25.5178281183809,1.3081804633885623,7.468464992693066,10.511289114174993,755.5486241718851
2024-02-04,23.267884993948044,0.0,247.51453092855363,46.768042474620046,90.36000000000001,231.50445463477746,38.120787793628125,2.9747151011087,-1.8961798544377089,0.43999954432249067,-16.499528367109598,0.0,-2.103579639647901,-2.4548156395331024,25.530164469241353,1.3072713734209538,7.492674058530479,10.725925255527345,703.0523471269503
2024-02-05,23.657975499048828,0.0,261.4918687739626,44.97849887338281,90.77999999999999,246.03945771384093,53.2129448909834,5.949884747201205,-3.9696322525590655,-3.4271782688871024,-15.216075150839986,0.0,-1.5690438295938074,-1.2556350632607935,25.514673576193303,1.3127259132266045,7.452510463761538,10.367916535383465,745.3208924218437
2024-02-06,23.8224298741892,0.0,272.1915255722716,43.98959080661833,85.98,250.22613223426268,55.077070233163234,3.982314057607204,-1.2933622969165444,-2.8545424982905385,-17.53934547206014,-0.359363264195621,-2.3568157410249113,-2.8399970588088035,25.63055527436435,1.3390895222872494,7.416710500837118,10.589407215091585,753.0013989593959
2024-02-07,24.193429489970207,0.0,281.33644177197743,35.851690143577756,88.93,269.2280522659354,39.36877741026134,3.980668604765832,2.5118155805021525,0.0,-13.708440348558128,-0.39954504076391456,-2.0695614930599926,-0.7565446710437536,24.12376592575237,1.3172713630646466,7.452228645871579,10.462380073917657,771.8224297221706
2024-02-08,24.130975009195506,0.0,291.07750738840105,38.34814210362732,88.94,274.7974726814427,40.12413117344752,3.977104972092807,0.8198173327893019,0.0,-7.1889016458541155,-0.246636108212173,-1.6889982508197428,-2.9458151310384277,30.94049522976726,1.348180421963334,7.477764983061701,10.502898213773966,800.4141383736378
2024-02-09,24.43488378536701,0.0,317.43479443973297,41.035957501858476,74.86,236.30109251198022,42.82501928541288,4.953331233809143,1.6745437203347684,0.0,-12.064078415147959,-0.5321812670379877,-1.5989074350297452,-3.2117239465638994,30.974713376148046,1.3154531831294298,7.412810504876077,9.966426042088868,775.7821345209584
2024-02-10,24.606701789245008,0.0,318.13190274552113,40.96859393525869,88.61,221.06590971919152,33.3513927329652,3.9752322467595342,2.0970887372791767,0.0,-13.187440888121722,-0.28918151869624853,-1.4901620931044222,-3.2146330344602463,29.993887119195612,1.3209077229350805,7.412628686882556,10.563179969526082,763.9160078703769
2024-02-11,23.443430266693234,0.0,318.0221258578844,38.87741428276897,88.66999999999999,219.77730196280555,32.77710241862759,4.035986729294806,1.6229074101746082,0.0,-12.796077657066286,-0.0849090029746294,-1.449816680341959,-2.825724346317351,29.979005316425862,1.31545318312943,7.387446894779801,10.307034780252724,759.0586814161367
