Date,France_GtP,Belgium_GtP,Italy_GtP,GB_GtP,Germany_IndPower,Germany_GtP,Netherlands_IndPower,Netherlands_GtP,Total_Gas_to_Power_Demand
2018-11-19,20.34,19.21,83.47,54.49,182.98,27.24,54.84,23.06,227.81
2018-11-20,23.62,22.58,92.98,59.23,189.76,26.64,58.34,25.85,250.89
2018-11-21,23.29,22.75,93.35,71.3,203.66,39.43,60.09,28.09,278.2
2018-11-22,21.82,22.59,90.66,78.96,210.75,53.51,61.6,29.53,297.07
2018-11-23,21.89,20.5,91.62,75.72,200.11,54.64,61.09,31.7,296.06
2018-11-24,17.91,19.1,66.14,60.14,165.14,39.59,55.66,28.25,231.13
2018-11-25,18.17,19.26,48.74,53.14,159.07,29.83,54.42,24.5,193.63
2018-11-26,24.56,22.3,86.07,76.63,201.54,47.95,58.61,27.19,284.7
2018-11-27,23.17,19.81,79.81,56.21,206.94,53.33,58.02,29.15,261.47
2018-11-28,20.05,18.78,71.91,32.7,190.77,36.1,53.75,24.37,203.91
2018-11-29,16.92,17.84,77.63,33.96,183.66,29.31,54.28,23.05,198.7
2018-11-30,19.62,18.15,83.91,36.19,182.4,38.58,54.63,23.02,219.48
2018-12-01,10.92,13.3,66.94,52.68,147.76,27.51,45.35,16.71,188.06
2018-12-02,0.33,11.25,53.69,42.59,140.07,21.3,43.38,14.08,143.23
2018-12-03,10.13,15.57,76.31,69.51,159.82,27.59,53.13,21.5,220.6
2018-12-04,16.04,18.97,76.34,81.09,183.71,34.62,59.48,26.64,253.69
2018-12-05,15.87,17.26,80.43,67.19,189.99,41.19,54.45,25.74,247.67
2018-12-06,14.76,13.3,82.92,50.76,173.44,34.54,50.06,20.71,216.99
2018-12-07,5.86,11.92,73.34,38.92,156.29,25.48,50.28,21.41,176.93
2018-12-08,0.03,7.12,42.63,35.72,139.09,11.24,43.08,16.4,113.12
2018-12-09,0.57,8.65,41.42,44.4,142.97,11.93,45.63,16.1,123.08
2018-12-10,17.99,21.42,76.72,77.17,181.55,26.12,56.68,27.05,246.48
2018-12-11,22.7,20.06,90.96,67.63,200.85,40.88,60.45,28.99,271.23
2018-12-12,20.75,21.28,93.61,60.83,207.48,50.62,60.87,31.32,278.41
2018-12-13,20.03,20.84,90.97,61.56,210.49,48.49,62.41,29.95,271.84
2018-12-14,21.78,20.62,88.67,66.58,208.75,50.4,63.47,30.6,278.66
2018-12-15,16.23,14.61,52.24,46.73,180.57,36.88,58.61,26.11,192.81
2018-12-16,11.32,13.13,51.7,60.35,179.74,30.96,58.85,26.74,194.21
2018-12-17,20.9,15.85,74.68,59.91,200.96,46.23,59.49,29.36,246.94
2018-12-18,17.94,15.09,78.19,53.63,194.13,43.18,58.92,27.94,235.97
2018-12-19,18.74,12.52,88.32,57.69,189.25,38.97,53.02,23.82,240.06
2018-12-20,15.08,11.65,82.21,60.62,172.43,35.58,56.28,23.87,229.02
2018-12-21,5.95,8.93,65.39,56.47,150.71,23.91,50.76,20.44,181.08
2018-12-22,1.85,10.2,45.55,48.64,136.09,19.61,45.33,17.92,143.77
2018-12-23,1.15,7.29,47.91,68.11,132.24,18.18,44.09,16.07,158.72
2018-12-24,2.17,9.56,43.2,70.62,137.68,18.97,48.1,18.99,163.51
2018-12-25,0.78,7.31,37.52,53.92,137.24,16.28,44.17,16.53,132.33
2018-12-26,5.85,11.69,46.85,53.78,144.59,20.28,48.04,19.17,157.63
2018-12-27,17.32,16.03,59.84,71.13,160.97,31.34,55.56,24.88,220.54
2018-12-28,15.26,14.54,62.03,58.26,160.54,33.13,55.23,26.07,209.29
2018-12-29,3.79,12.49,53.38,47.88,145.39,24.81,46.12,19.86,162.2
2018-12-30,4.17,11.35,53.39,51.27,138.41,20.08,49.65,23.41,163.68
2018-12-31,9.97,11.28,48.04,43.51,133.77,19.7,47.97,22.67,155.18
2019-01-01,1.66,10.35,40.39,54.24,136.43,13.86,45.48,21.83,142.33
2019-01-02,16.04,20.45,61.84,88.6,176.85,21.93,55.75,25.14,234.01
2019-01-03,16.3,20.2,68.67,91.7,192.5,39.98,57.65,28.48,265.34
2019-01-04,17.73,20.94,78.16,88.73,179.39,33.92,56.18,27.01,266.5
2019-01-05,17.22,13.13,63.82,82.57,157.82,26.55,53.36,23.09,226.4
2019-01-06,16.53,12.38,60.59,76.13,160.59,31.51,54.64,24.31,221.44
2019-01-07,15.25,15.63,93.89,49.98,184.77,38.64,54.67,26.27,239.65
2019-01-08,15.62,14.86,92.09,67.37,181.32,25.5,49.26,20.82,236.25
2019-01-09,22.22,17.34,91.29,83.64,196.89,31.64,57.0,23.45,269.58
2019-01-10,23.65,20.66,97.31,85.82,213.65,49.67,59.46,28.75,305.86
2019-01-11,21.88,17.46,97.56,73.01,196.12,43.51,53.64,26.14,279.57
2019-01-12,12.09,10.66,64.92,36.71,159.29,25.82,46.66,20.08,170.26
2019-01-13,2.5,8.51,57.2,33.86,151.44,16.15,44.57,13.7,131.92
2019-01-14,21.59,17.93,85.49,68.17,193.59,29.24,56.66,22.18,244.61
2019-01-15,23.01,16.1,92.43,59.6,190.15,33.01,52.35,25.01,249.16
2019-01-16,19.95,16.99,97.58,66.37,188.65,35.67,54.08,22.84,259.41
2019-01-17,22.31,17.42,97.38,75.88,192.45,32.67,56.4,25.71,271.39
2019-01-18,23.51,19.65,95.29,77.24,210.0,45.49,59.33,29.69,290.87
2019-01-19,23.02,15.66,77.51,84.22,186.36,36.54,59.18,27.71,264.66
2019-01-20,22.36,15.4,68.53,83.86,191.42,37.55,56.69,27.76,255.47
2019-01-21,23.45,21.34,102.96,80.97,232.82,52.98,59.88,29.95,311.64
2019-01-22,22.52,21.64,101.21,92.09,230.69,51.02,60.75,29.18,317.66
2019-01-23,24.31,22.77,105.08,97.16,238.32,57.4,63.53,31.45,338.17
2019-01-24,25.23,23.35,103.99,94.11,239.83,60.28,63.53,33.98,340.93
2019-01-25,22.96,18.17,86.82,61.82,219.63,54.71,55.54,32.02,276.5
2019-01-26,14.45,9.31,63.62,42.54,169.43,30.04,46.07,23.38,183.34
2019-01-27,3.42,8.01,51.83,43.73,165.4,22.6,43.76,15.51,145.09
2019-01-28,21.99,17.13,82.74,77.91,201.62,37.92,56.07,25.83,263.52
2019-01-29,21.71,19.62,93.1,83.32,214.16,48.33,59.81,30.27,296.36
2019-01-30,22.4,22.22,90.89,89.22,214.73,46.4,61.06,31.28,302.41
2019-01-31,20.08,21.35,81.62,79.08,212.54,49.07,60.28,33.01,284.2
2019-02-01,20.26,18.38,75.63,74.33,205.09,47.51,59.11,31.58,267.68
2019-02-02,15.4,11.64,55.49,70.58,175.92,36.35,54.7,29.34,218.78
2019-02-03,15.25,11.84,50.2,58.04,178.89,34.19,50.53,22.69,192.21
2019-02-04,23.12,20.08,79.06,84.55,199.64,37.22,55.07,25.79,269.82
2019-02-05,21.79,19.44,73.49,74.19,211.58,48.04,60.24,31.46,268.41
2019-02-06,18.33,18.44,74.15,70.27,203.33,46.58,59.81,31.94,259.72
2019-02-07,14.61,11.51,83.31,54.57,192.77,31.97,51.25,26.15,222.13
2019-02-08,7.83,9.25,81.87,42.07,172.97,27.28,50.99,24.58,192.88
2019-02-09,0.03,6.84,55.03,45.48,145.41,14.64,44.51,20.0,142.02
2019-02-10,0.36,7.71,41.7,56.62,150.63,16.44,44.99,21.55,144.39
2019-02-11,20.26,20.22,67.63,83.08,189.23,24.74,60.3,31.44,247.36
2019-02-12,17.38,17.29,68.53,59.18,197.01,38.73,58.65,32.32,233.43
2019-02-13,22.36,15.6,70.0,53.75,192.27,39.96,59.15,30.0,231.68
2019-02-14,23.06,15.86,73.04,63.91,187.34,39.49,59.66,32.39,247.75
2019-02-15,19.91,12.7,75.58,46.06,171.87,36.13,58.67,32.75,223.12
2019-02-16,6.31,8.91,56.53,40.26,145.69,22.5,48.4,23.88,158.39
2019-02-17,1.91,8.32,47.19,27.17,145.85,22.05,42.62,16.62,123.27
2019-02-18,19.83,12.2,79.69,47.42,171.42,30.91,54.59,27.27,217.33
2019-02-19,21.98,12.15,86.27,52.04,171.95,31.13,50.31,24.13,227.69
2019-02-20,20.7,12.99,89.13,47.07,173.11,35.85,54.16,26.47,232.21
2019-02-21,19.72,14.82,82.81,54.41,167.9,34.69,55.4,28.28,234.73
2019-02-22,17.01,12.61,70.42,48.59,169.57,35.55,56.62,32.43,216.61
2019-02-23,2.98,10.25,44.63,45.44,152.73,22.67,42.54,20.81,146.77
2019-02-24,6.82,11.05,40.16,55.61,150.21,22.85,45.35,18.64,155.14
2019-02-25,20.05,14.46,73.46,71.61,170.58,33.99,59.93,31.66,245.23
2019-02-26,20.08,14.29,70.17,72.36,168.99,35.91,60.35,32.63,245.43
2019-02-27,13.04,11.14,71.98,76.59,161.38,33.33,56.15,32.51,238.59
2019-02-28,2.77,10.89,72.58,75.97,158.99,23.23,50.27,24.12,209.55
2019-03-01,13.6,11.32,68.84,75.42,164.61,31.69,58.05,31.53,232.4
2019-03-02,1.34,6.56,50.43,36.12,139.16,24.07,46.45,25.24,143.76
2019-03-03,0.07,5.88,49.77,45.14,128.25,13.7,43.53,18.98,133.53
2019-03-04,0.11,7.45,68.95,50.09,155.92,21.58,52.9,20.66,168.84
2019-03-05,4.47,9.63,74.05,59.17,166.45,25.99,56.52,26.77,200.08
2019-03-06,1.48,6.0,76.92,47.88,155.08,23.88,53.91,24.33,180.49
2019-03-07,0.18,6.04,75.38,42.54,152.45,22.19,51.99,23.76,170.09
2019-03-08,2.85,7.18,79.68,48.63,155.06,22.92,53.54,27.4,188.66
2019-03-09,0.13,6.02,48.43,41.52,131.49,17.52,42.78,14.25,127.87
2019-03-10,0.28,7.05,43.79,35.48,140.99,18.93,41.61,14.94,120.48
2019-03-11,4.69,9.07,66.7,44.25,178.31,22.28,48.34,19.49,166.47
2019-03-12,1.76,7.42,70.48,48.19,165.75,21.75,51.35,25.85,175.45
2019-03-13,0.32,7.61,81.51,40.63,166.77,19.37,52.71,22.29,171.72
2019-03-14,1.25,8.52,77.86,40.08,169.05,19.47,50.42,23.23,170.4
2019-03-15,0.69,7.32,75.35,41.39,155.13,20.27,45.38,20.07,165.08
2019-03-16,0.02,7.34,54.93,35.16,133.05,15.6,38.71,13.8,126.85
2019-03-17,0.51,7.68,54.03,37.01,134.88,12.4,43.13,15.61,127.25
2019-03-18,17.68,16.08,77.89,75.72,170.17,22.62,54.68,26.08,236.07
2019-03-19,22.37,16.5,85.34,67.9,178.13,36.92,60.74,33.22,262.25
2019-03-20,21.1,14.73,76.41,59.73,168.07,34.86,61.05,32.37,239.2
2019-03-21,18.74,13.84,70.57,68.27,160.39,33.85,59.73,32.87,238.15
2019-03-22,15.62,12.22,68.63,48.91,151.01,33.82,57.44,32.46,211.65
2019-03-23,2.71,9.91,47.77,56.02,127.5,22.56,46.61,24.64,163.61
2019-03-24,0.06,7.64,48.29,28.81,129.42,19.36,41.77,17.53,121.68
2019-03-25,4.42,7.95,66.92,58.93,161.35,20.72,49.45,19.38,178.32
2019-03-26,10.06,13.53,71.92,61.07,166.7,24.57,56.46,26.83,207.98
2019-03-27,17.54,14.44,73.29,70.09,164.64,32.8,61.07,30.35,238.52
2019-03-28,18.2,15.48,63.74,65.16,160.43,36.18,61.03,31.45,230.21
2019-03-29,11.73,12.21,64.08,61.18,147.95,32.41,56.02,29.49,211.09
2019-03-30,2.02,8.75,46.9,49.55,115.21,18.2,43.68,20.3,145.72
2019-03-31,0.57,7.55,48.01,41.68,126.89,14.38,39.09,12.73,124.92
2019-04-01,8.34,10.5,79.3,61.77,150.99,25.16,48.73,20.48,205.56
2019-04-02,7.83,11.3,83.12,70.04,145.14,22.76,50.19,22.32,217.37
2019-04-03,19.79,16.11,82.12,67.58,157.93,34.55,54.65,25.82,245.97
2019-04-04,19.94,15.99,74.53,56.38,165.08,40.66,41.83,26.62,234.11
2019-04-05,17.87,13.94,75.24,54.57,157.26,38.62,53.95,26.4,226.64
2019-04-06,5.59,8.95,53.39,60.91,119.64,20.5,40.86,17.48,166.82
2019-04-07,1.17,7.26,51.96,53.76,117.22,17.82,37.29,10.81,142.78
2019-04-08,16.2,10.96,72.46,65.94,142.3,28.72,48.18,17.82,212.11
2019-04-09,11.89,9.85,74.95,61.05,150.88,31.67,45.31,17.64,207.05
2019-04-10,10.37,9.56,72.82,71.06,157.42,33.64,48.37,18.04,215.48
2019-04-11,12.53,12.54,79.02,75.65,165.3,34.22,46.11,16.84,230.8
2019-04-12,19.95,14.97,76.05,65.1,169.58,36.86,54.48,22.8,235.73
2019-04-13,6.18,10.25,55.55,42.1,147.75,26.9,42.64,19.28,160.25
2019-04-14,8.35,8.78,49.46,36.62,144.5,20.9,41.18,13.59,137.7
2019-04-15,17.98,12.09,63.41,35.99,154.96,23.62,47.83,19.6,172.69
2019-04-16,21.89,14.28,72.35,62.25,149.64,28.77,50.69,21.25,220.8
2019-04-17,16.86,11.96,69.64,56.49,147.52,31.59,49.9,23.71,210.24
2019-04-18,8.66,7.94,60.63,49.66,127.93,21.87,43.86,18.96,167.72
2019-04-19,1.21,7.12,54.07,53.5,103.53,14.53,42.81,17.64,148.07
2019-04-20,0.02,7.1,40.43,54.84,99.95,16.28,38.77,15.84,134.52
2019-04-21,0.02,7.03,35.91,38.91,93.05,12.54,37.23,13.59,108.0
2019-04-22,0.09,6.89,40.15,36.5,96.4,9.96,37.5,12.7,106.3
2019-04-23,0.35,7.65,66.04,45.88,122.32,16.01,46.27,19.65,155.59
2019-04-24,0.09,7.39,63.39,53.28,124.26,16.78,45.27,20.23,161.16
2019-04-25,0.53,8.54,46.13,56.3,128.52,22.1,47.16,21.88,155.48
2019-04-26,4.85,9.89,50.77,39.96,132.17,25.02,46.96,22.49,152.99
2019-04-27,0.02,8.67,34.23,32.09,115.08,15.54,34.75,8.37,98.91
2019-04-28,1.81,9.83,38.41,58.16,122.08,16.39,39.4,12.53,137.13
2019-04-29,13.92,11.74,61.97,69.84,146.36,25.93,52.52,24.66,208.06
2019-04-30,10.83,12.22,61.21,71.96,138.08,26.16,54.73,27.93,210.3
2019-05-01,0.31,8.66,42.3,71.92,113.82,15.04,46.12,17.61,155.83
2019-05-02,9.14,9.03,63.83,65.3,137.88,21.1,55.27,25.55,193.96
2019-05-03,11.31,9.53,66.38,56.41,144.16,27.46,52.1,28.88,199.98
2019-05-04,1.0,7.4,49.76,31.32,130.62,18.06,42.03,14.92,122.45
2019-05-05,3.08,7.6,40.67,45.59,129.22,15.83,39.99,10.49,123.26
2019-05-06,15.36,10.85,56.22,66.64,153.72,23.71,55.9,25.95,198.72
2019-05-07,13.11,9.54,66.57,72.42,152.26,28.41,56.45,30.27,220.32
2019-05-08,3.56,7.6,70.71,53.31,146.75,26.07,51.79,25.23,186.48
2019-05-09,15.38,9.56,65.79,76.11,143.13,26.75,56.4,25.18,218.78
2019-05-10,13.08,10.15,62.87,72.72,139.3,28.21,55.06,29.0,216.04
2019-05-11,0.02,7.06,41.05,51.27,119.32,20.03,41.65,15.3,134.72
2019-05-12,1.17,7.09,41.87,49.76,119.18,13.58,39.18,12.05,125.52
2019-05-13,10.72,8.96,67.97,61.27,141.78,20.1,48.93,16.38,185.41
2019-05-14,12.82,8.84,63.15,61.85,145.42,21.65,54.7,23.7,192.01
2019-05-15,12.0,10.03,69.08,56.41,145.13,23.28,53.11,26.62,197.41
2019-05-16,12.94,10.67,67.37,42.88,146.85,26.2,55.05,25.51,185.57
2019-05-17,12.59,10.86,63.94,55.11,133.76,24.96,54.53,29.08,196.54
2019-05-18,2.75,9.24,48.68,53.23,108.36,19.08,44.78,20.77,153.76
2019-05-19,1.03,9.14,43.32,51.77,105.76,14.95,40.76,16.13,136.34
2019-05-20,12.55,11.01,59.6,65.6,133.87,27.0,54.85,27.45,203.21
2019-05-21,11.68,9.84,55.33,62.94,135.99,23.64,56.09,29.47,192.91
2019-05-22,12.64,10.04,56.51,55.34,139.42,23.04,53.48,28.63,186.2
2019-05-23,12.03,9.82,54.74,46.52,135.39,24.08,59.09,31.41,178.61
2019-05-24,11.7,10.14,51.15,51.08,126.77,23.33,55.29,31.62,179.03
2019-05-25,5.78,7.15,36.28,39.63,112.28,20.9,42.58,25.41,135.15
2019-05-26,0.17,6.43,35.21,19.64,103.9,12.87,34.63,10.28,84.6
2019-05-27,6.74,11.6,53.62,36.33,131.11,22.62,55.35,23.7,154.61
2019-05-28,10.29,11.87,48.83,57.59,137.39,29.73,56.14,29.56,187.88
2019-05-29,9.25,10.72,52.53,49.37,133.25,28.06,52.86,26.74,176.68
2019-05-30,0.55,6.77,54.44,33.05,102.51,11.7,41.25,13.58,120.09
2019-05-31,4.52,9.17,48.46,0.0,112.04,18.7,48.06,23.5,104.35
2019-06-01,1.05,8.33,33.91,38.87,97.74,14.53,42.06,17.67,114.36
2019-06-02,1.04,6.85,35.03,24.23,94.2,10.3,37.11,14.15,91.61
2019-06-03,13.67,10.3,54.58,46.42,123.12,24.33,52.05,21.87,171.17
2019-06-04,12.44,10.19,58.99,65.27,120.78,27.92,50.96,24.82,199.64
2019-06-05,11.38,11.69,55.86,60.54,118.83,26.94,50.31,24.41,190.83
2019-06-06,7.75,11.76,55.95,55.85,129.22,26.77,53.03,23.01,181.09
2019-06-07,2.63,8.89,55.12,50.05,117.39,23.95,47.01,23.38,164.02
2019-06-08,0.02,6.86,40.94,35.18,94.01,8.87,39.1,13.19,105.05
2019-06-09,0.02,9.16,44.97,53.82,90.8,12.65,39.83,14.83,135.45
2019-06-10,2.95,9.99,70.13,60.4,98.92,15.79,43.36,18.34,177.6
2019-06-11,16.06,14.29,72.84,49.52,127.32,28.19,52.56,24.19,205.08
2019-06-12,13.57,13.79,72.9,53.46,130.68,33.07,51.93,25.69,212.48
2019-06-13,10.52,12.46,71.49,58.74,130.36,28.23,48.0,23.4,204.85
2019-06-14,12.34,12.99,64.95,57.63,125.22,31.16,47.27,25.09,204.15
2019-06-15,0.43,8.92,50.41,44.49,101.27,20.83,40.8,18.85,143.93
2019-06-16,0.65,8.92,45.28,34.61,104.93,19.52,39.36,18.35,127.33
2019-06-17,9.63,13.9,76.51,48.17,126.96,31.05,43.98,24.1,203.36
2019-06-18,11.06,14.21,81.75,68.69,125.13,33.91,46.4,26.47,236.1
2019-06-19,12.08,14.69,81.97,72.62,124.37,34.54,47.63,29.19,245.09
2019-06-20,11.8,13.25,80.95,56.73,117.01,32.73,49.21,28.97,224.43
2019-06-21,13.27,13.32,83.03,62.5,118.13,33.26,49.65,29.81,235.19
2019-06-22,0.98,8.09,58.6,47.06,98.84,19.7,45.65,25.28,159.72
2019-06-23,0.18,8.2,49.24,39.22,95.44,14.37,40.28,17.42,128.64
2019-06-24,10.83,13.21,72.18,70.32,120.55,26.81,48.52,24.72,218.08
2019-06-25,14.3,14.44,79.08,67.95,125.59,31.27,51.88,27.82,234.86
2019-06-26,11.42,13.51,84.4,64.69,122.48,29.42,49.73,27.69,231.14
2019-06-27,12.11,12.89,90.94,51.52,125.17,30.43,51.45,27.48,225.36
2019-06-28,13.33,12.85,87.37,50.54,122.99,33.9,53.04,29.33,227.33
2019-06-29,5.56,11.11,56.19,41.3,97.28,25.45,48.82,28.9,168.53
2019-06-30,2.91,9.88,56.53,21.99,93.01,13.78,42.11,17.86,122.96
2019-07-01,12.49,13.48,85.86,39.5,122.45,29.94,47.74,27.82,209.07
2019-07-02,12.7,13.18,86.43,61.38,127.65,32.72,50.24,27.9,234.32
2019-07-03,8.77,11.57,90.95,63.93,127.0,34.46,48.78,27.49,237.18
2019-07-04,11.11,11.32,92.51,54.05,121.51,29.14,50.24,26.43,224.57
2019-07-05,12.04,12.81,90.91,55.17,120.67,31.66,48.86,26.37,228.96
2019-07-06,1.48,8.23,62.99,51.01,94.31,16.12,45.87,21.57,161.4
2019-07-07,1.63,8.59,54.23,53.34,98.14,13.93,42.99,16.86,148.58
2019-07-08,12.92,11.61,90.82,70.76,129.04,29.26,50.77,26.47,241.84
2019-07-09,13.77,12.44,96.64,70.33,131.52,33.19,53.08,27.3,253.67
2019-07-10,16.34,12.84,82.95,67.97,131.77,36.89,56.22,28.93,245.91
2019-07-11,15.12,13.38,84.92,69.91,134.78,40.23,53.15,30.3,253.86
2019-07-12,13.88,13.26,86.12,53.82,125.46,38.42,55.07,30.6,236.1
2019-07-13,4.79,9.0,56.08,48.18,99.93,17.78,49.79,26.48,162.31
2019-07-14,3.45,8.97,46.32,50.99,100.31,13.77,45.98,20.82,144.32
2019-07-15,14.01,13.61,77.41,68.45,128.81,32.62,52.4,28.05,234.15
2019-07-16,17.09,13.7,74.06,65.31,130.42,35.66,54.18,27.61,233.42
2019-07-17,18.75,14.62,86.39,55.99,132.96,35.67,53.67,30.21,241.62
2019-07-18,19.36,14.14,90.47,55.17,132.28,38.94,53.05,29.54,247.62
2019-07-19,18.39,14.28,82.49,54.28,125.8,40.72,53.45,30.67,240.84
2019-07-20,9.8,8.99,63.11,27.93,99.02,24.86,50.04,26.46,161.14
2019-07-21,10.57,9.58,57.66,27.02,101.1,18.44,47.18,21.01,144.28
2019-07-22,19.06,13.09,88.28,40.5,126.15,35.52,50.85,27.47,223.93
2019-07-23,18.47,14.81,94.82,60.66,126.52,37.61,51.33,28.91,255.28
2019-07-24,20.56,14.61,98.33,72.58,128.06,38.48,48.48,27.54,272.11
2019-07-25,20.26,13.88,103.54,65.47,123.43,39.98,49.76,27.96,271.09
2019-07-26,18.34,13.82,97.19,68.3,114.65,35.16,49.03,26.0,258.82
2019-07-27,14.95,10.66,66.54,48.92,93.84,24.8,51.6,27.28,193.15
2019-07-28,9.42,10.34,46.7,44.2,96.49,21.07,52.08,23.36,155.07
2019-07-29,15.34,12.81,82.83,59.4,123.61,37.3,53.89,29.11,236.79
2019-07-30,9.68,9.73,87.57,51.97,124.53,39.08,51.49,27.49,225.53
2019-07-31,14.04,12.91,89.75,48.6,125.67,38.76,49.83,27.54,231.6
2019-08-01,15.17,15.37,90.84,61.96,126.66,40.23,52.33,29.29,252.86
2019-08-02,13.1,13.98,79.56,63.32,120.33,40.37,50.2,26.94,237.27
2019-08-03,8.6,10.8,56.87,53.24,101.42,29.91,50.54,26.8,186.22
2019-08-04,5.8,9.14,54.32,44.74,97.99,22.98,48.09,24.35,161.32
2019-08-05,11.6,12.99,80.74,41.38,122.65,36.12,51.91,28.1,210.92
2019-08-06,11.65,12.94,83.72,36.91,121.64,39.78,54.15,27.97,212.97
2019-08-07,12.0,12.91,77.78,36.21,123.63,40.04,52.58,27.59,206.51
2019-08-08,10.85,10.32,82.36,50.9,118.96,31.46,51.75,27.43,213.32
2019-08-09,4.62,10.12,76.68,28.49,115.5,39.77,49.0,27.43,187.11
2019-08-10,0.06,5.41,67.06,19.77,87.44,12.6,35.24,12.11,117.03
2019-08-11,0.71,6.87,62.54,24.36,89.72,13.79,40.01,13.43,121.69
2019-08-12,6.15,11.91,71.02,56.17,126.04,35.15,52.98,25.3,205.7
2019-08-13,7.19,11.09,64.62,53.61,128.05,37.28,52.49,26.91,200.69
2019-08-14,2.15,9.82,49.34,49.91,126.33,35.88,52.61,27.11,174.22
2019-08-15,1.2,5.7,43.88,30.34,116.1,24.93,49.58,22.79,128.84
2019-08-16,2.66,8.1,52.3,27.66,114.9,29.48,47.38,25.75,145.95
2019-08-17,1.02,5.86,53.84,22.35,93.55,15.13,41.05,14.96,113.17
2019-08-18,1.7,6.49,53.36,19.31,93.06,14.22,44.03,17.33,112.42
2019-08-19,9.43,9.88,70.95,32.93,122.36,29.81,55.34,24.87,177.87
2019-08-20,12.49,14.28,77.98,49.38,130.62,37.43,57.64,28.32,219.89
2019-08-21,12.23,14.73,76.71,35.94,130.32,35.8,57.05,28.26,203.67
2019-08-22,9.23,11.5,76.25,29.68,125.7,31.9,57.21,27.71,186.26
2019-08-23,9.13,11.95,74.12,38.75,118.95,31.38,55.67,27.35,192.68
2019-08-24,5.35,8.44,64.16,43.15,93.58,20.22,50.15,25.63,166.95
2019-08-25,7.08,9.38,64.05,47.73,95.47,19.48,49.02,21.72,169.43
2019-08-26,16.68,14.21,89.45,57.24,126.03,34.16,54.87,27.24,238.97
2019-08-27,17.36,13.78,93.81,66.6,128.63,40.25,54.34,27.59,259.39
2019-08-28,17.5,13.26,96.53,60.58,127.8,39.78,56.46,27.81,255.46
2019-08-29,15.6,13.67,98.24,34.26,128.7,40.26,58.33,27.99,230.03
2019-08-30,15.73,12.54,93.88,29.41,121.28,38.64,57.38,29.8,220.01
2019-08-31,10.26,9.19,74.93,23.71,94.01,23.62,52.23,27.23,168.95
2019-09-01,9.53,9.44,68.35,30.31,98.33,22.6,50.5,21.62,161.85
2019-09-02,14.36,12.46,93.06,32.05,128.08,35.12,57.77,27.74,214.79
2019-09-03,14.95,14.1,84.38,37.87,131.12,37.29,58.53,28.65,217.24
2019-09-04,16.26,12.62,86.39,24.74,128.1,37.57,57.16,28.46,206.05
2019-09-05,16.42,12.53,90.23,29.43,130.45,34.04,57.7,28.24,210.89
2019-09-06,17.75,13.2,82.16,27.95,128.13,36.1,57.89,28.03,205.18
2019-09-07,17.11,10.19,59.62,38.44,111.73,29.1,56.45,28.97,183.42
2019-09-08,14.0,10.05,50.19,43.59,113.26,28.26,55.44,28.48,174.56
2019-09-09,18.48,14.47,78.83,65.47,141.54,35.82,58.58,28.47,241.53
2019-09-10,16.82,13.34,84.89,51.7,138.09,31.53,58.36,30.07,228.35
2019-09-11,15.39,14.19,84.55,27.88,133.1,29.92,55.76,27.54,199.47
2019-09-12,16.61,13.93,78.88,35.83,133.11,36.54,56.34,27.38,209.17
2019-09-13,16.12,14.36,76.73,47.42,131.38,37.4,56.72,28.05,220.09
2019-09-14,11.23,9.82,56.16,27.91,109.37,30.52,47.85,21.9,157.53
2019-09-15,7.19,10.56,54.22,41.61,103.51,18.03,44.86,15.12,146.73
2019-09-16,16.7,15.03,82.0,59.57,139.15,38.61,57.19,28.63,240.53
2019-09-17,16.7,13.15,84.58,59.05,134.56,30.37,51.75,23.8,227.66
2019-09-18,16.32,13.93,88.1,67.38,147.82,34.96,57.03,26.48,247.18
2019-09-19,17.15,15.86,81.77,66.98,153.74,42.07,57.64,32.16,255.99
2019-09-20,14.16,14.8,70.16,45.41,147.84,43.09,57.22,30.13,217.75
2019-09-21,8.61,9.87,55.25,20.89,116.93,30.15,52.39,26.49,151.25
2019-09-22,7.16,9.28,52.99,40.63,112.34,26.57,51.5,21.12,157.75
2019-09-23,16.54,16.49,73.9,56.61,146.96,39.71,58.18,29.9,233.15
2019-09-24,15.51,15.65,76.61,60.29,147.83,43.71,57.65,31.88,243.66
2019-09-25,16.88,15.19,76.07,57.67,151.91,42.92,56.56,30.18,238.91
2019-09-26,14.48,14.27,80.37,40.58,145.84,43.28,55.24,28.04,221.02
2019-09-27,11.07,14.28,75.16,37.85,134.1,38.23,51.94,26.96,203.55
2019-09-28,4.02,6.87,56.54,29.97,104.06,14.55,40.82,19.43,131.38
2019-09-29,0.58,7.52,53.32,31.92,103.87,11.02,44.89,19.04,123.41
2019-09-30,13.78,12.72,74.88,61.4,137.55,23.58,55.28,24.63,210.99
2019-10-01,12.93,14.53,82.03,52.74,147.37,41.94,56.31,28.44,232.6
2019-10-02,15.89,13.88,75.37,60.39,148.49,42.11,56.81,27.22,234.85
2019-10-03,13.89,15.0,74.51,58.09,139.73,38.77,57.42,27.67,227.93
2019-10-04,13.72,15.16,66.95,53.02,144.67,39.77,54.77,27.15,215.78
2019-10-05,14.14,12.01,58.07,36.42,132.2,32.64,49.21,21.91,175.19
2019-10-06,7.29,10.58,53.3,27.88,135.46,29.36,49.44,21.5,149.9
2019-10-07,17.81,16.25,66.1,48.52,164.62,43.06,55.8,27.57,219.3
