Date,Slovakia_to_Austria,Russia_Nord_Stream_to_Germany,Norway_to_Europe,Netherlands_Production,GB_Production,LNG_Import,Algeria_to_Italy,Libya_to_Italy,Spain_to_France,Denmark_to_Germany,Czech_and_Poland_to_Germany,Austria_to_Hungary_Export,Slovenia_to_Austria,MAB_to_Austria,TAP_to_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2016-11-05,96.13,119.95,285.76,130.6,100.85,47.32,55.56,16.25,-8.07,-1.12,151.57,-9.93,-6.54,-8.76,0.0,2.75,15.64,14.2,1002.15
2016-11-06,91.13,119.93,316.73,132.25,104.85,38.63,56.22,14.51,-8.27,-1.2,152.66,-9.92,-6.36,-8.8,0.0,2.78,15.8,14.17,1025.11
2016-11-07,94.06,120.59,324.07,133.49,93.69,65.43,56.13,15.98,-9.4,-0.01,151.44,-10.0,-7.3,-7.05,0.0,2.69,15.92,14.33,1054.05
2016-11-08,100.56,120.41,324.82,139.85,101.26,60.6,55.98,16.02,-9.98,-2.17,151.8,-9.74,-7.62,-7.18,0.0,2.69,16.0,14.72,1068.03
2016-11-09,109.54,120.38,330.4,143.97,102.49,50.75,56.2,15.99,-9.65,-1.23,151.71,-10.27,-7.53,-7.14,0.0,2.7,16.06,14.73,1079.11
2016-11-10,116.99,120.41,326.52,154.97,103.0,55.83,55.94,15.48,-9.34,-0.82,153.39,-10.08,-7.64,-5.63,0.0,2.49,16.13,14.79,1102.42
2016-11-11,112.5,120.4,329.06,169.15,109.06,45.28,55.26,15.97,-9.43,-0.02,157.42,-10.11,-7.78,-6.41,0.0,2.53,16.02,14.8,1113.71
2016-11-12,111.52,120.31,313.49,164.93,97.79,48.57,55.22,15.5,-8.93,-2.25,157.76,-10.07,-7.13,-5.04,0.0,2.58,16.05,14.71,1085.0
2016-11-13,114.83,120.47,322.61,161.44,106.51,50.49,60.29,17.46,-8.51,-2.23,158.28,-10.09,-7.12,-5.39,0.0,2.53,16.06,14.73,1112.35
2016-11-14,101.89,120.45,340.54,152.91,102.98,55.28,60.78,15.98,-9.29,-0.95,157.8,-10.09,-7.97,-4.67,0.0,1.95,15.98,14.58,1108.15
