Date,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Total,Industrial,LDZ,Gas-to-Power
Date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01 00:00:00,68.46263818882555,32.513329964525994,114.76060842299461,68.23965660157056,153.01999999999998,13.203622689545153,150.82129835012555,4.583913434571775,0.7936355417221785,7.16,613.5587031938813,228.80020305872483,243.40877025344892,141.3497298817076
2016-10-02 00:00:00,68.54154719801397,32.58705716089904,105.6838450959064,69.74210959103702,149.37,13.909985594376922,158.26456336891653,5.065394754116239,1.1529078969210387,6.13,610.4474106601872,219.81892589157746,263.4833212795228,127.14516348908693
2016-10-03 00:00:00,90.13383392726479,38.16405138518661,148.39317359204145,72.87465180142223,160.09,17.23634578585625,174.2510013583079,7.0930653814688345,1.5490893048048018,5.43,715.2152125363529,240.69953573401574,307.80471011851654,166.71096668382063
2016-10-04 00:00:00,92.57104958502501,41.06295747389645,151.4659795006551,76.89155673229693,163.86,20.64725134432316,205.03524220444262,7.064956319670378,1.313544094197452,7.78,767.6925372545071,268.2584083736293,325.29215996096804,174.14196891990974
2016-10-05 00:00:00,98.3608344980307,43.52522765116393,153.7879770959206,81.96582420449704,162.35000000000002,25.622700737044212,228.3427635209784,7.451019556214661,2.089452381551266,5.22,808.7157996454009,275.5159648254894,360.6834204295978,172.51641439031363
2016-10-06 00:00:00,110.85229428875073,46.91258777946979,159.52177115782126,91.7548140667081,184.58999999999997,23.378157607018945,243.46620240411903,9.232399529542775,2.1733613855615257,6.56,878.4415882189921,281.9905026402812,397.06323173114055,199.38785384757034
2016-10-07 00:00:00,113.54432786443161,45.5392255654037,156.4363107168585,90.66972428137065,187.69,22.429067680835722,240.53920543541014,8.918427127429842,2.203724990479648,9.32,877.2900136622197,277.6126429247245,399.57021668005285,200.10715405744241
2016-10-08 00:00:00,100.50435045995563,41.94013838364184,130.58805566795095,80.95527979650349,175.41,19.71452503755689,223.64676838430015,8.090827984517809,1.8048163126930596,7.59,790.2447620271198,249.8820806713767,370.36536231955887,169.99731903618425
2016-10-09 00:00:00,103.00644786870406,41.421502557121215,124.8052162022978,86.26863793018461,183.82999999999998,19.75452499613166,235.59702873550356,9.066354246959092,1.2399987158179284,7.43,812.4197112527198,250.54504803824352,397.94986830538653,163.9247949090898
2016-10-10 00:00:00,132.6724989637807,50.305584265574815,179.92939547758252,103.7551652751267,215.37,27.119062823727724,274.35580677749965,10.99264316112399,2.0369069814234972,9.58,1006.1170637258397,293.91056544507745,491.74458805133025,220.46191022943185
2016-10-11 00:00:00,141.2612082508586,51.34421955356747,192.8869184219964,107.00388918337227,219.97,27.82724390849471,279.5403468627706,11.245161081426593,2.2044522624537346,8.06,1041.3434395249403,300.1311350036335,523.6851212188549,217.52718330245204
2016-10-12 00:00:00,145.79833991569726,54.47894357987493,199.04785749607754,105.42007264180482,212.22,27.668153164163233,280.670709328495,10.829370602941514,2.1952704537808896,8.46,1046.7887171828352,302.69222269983777,532.4494695647902,211.64702491820714
2016-10-13 00:00:00,147.17812939583436,51.07294710723311,212.93735220258458,102.09571244825425,217.97,25.700882474258545,270.90344671650973,10.75273431867212,2.3620884628370407,8.92,1049.8932931261836,296.3707670187291,545.3341358559571,208.18839025149754
2016-10-14 00:00:00,137.05792169482487,51.077128921084096,203.25144405180066,97.38962641293556,212.14999999999998,23.62906643807888,253.38537394969165,9.377226652282474,2.461270178303123,8.7,998.4790582990013,286.7942638676111,515.9572539264402,195.7275405049499
2016-10-15 00:00:00,114.01468192277251,43.501045858025556,154.58770354042574,86.6438193598166,185.76,18.929980395510793,219.15831848722698,8.266327802764625,2.2440885850414634,6.23,839.3359659515844,254.27586901091155,431.76401526184605,153.29608167882674
2016-10-16 00:00:00,104.80473691542969,38.52741464523971,134.04937935602143,76.29955734539031,171.41,17.315436613038184,211.34223567271974,8.262782351890952,1.4517257692739367,5.42,768.8832686690039,249.55722205610905,387.322295444844,132.003751168051
2016-10-17 00:00:00,120.15862101445943,46.75631521403789,192.09424651563987,90.68981516965479,190.02,21.648159398660066,238.11084431393445,8.740272766477613,2.1576341291218997,7.26,917.6359085219859,291.57840707146636,421.6383029909827,204.41919845953694
2016-10-18 00:00:00,129.59578396830634,50.82140191319584,191.20893834158406,104.29971016572415,207.5,24.935428721532226,237.53829945233466,8.46938213792965,2.138906875789165,7.94,964.4478515763961,296.9641487115595,464.97794014661764,202.50576271821896
2016-10-19 00:00:00,140.69833610651415,55.23176098205148,192.19886458911225,109.33834131119401,220.89,22.88997629441321,258.99391359585525,10.031407792973518,2.391724795781076,9.54,1022.2043254678949,306.13344093205035,502.1434325646475,213.92745197119712
2016-10-20 00:00:00,144.21499610091297,54.900215870864685,196.37346026576833,115.07233537288757,222.16,24.264520325437186,273.82008005958795,10.340680199953914,2.445452012866735,9.71,1053.3017402082794,312.5787133771535,524.9747725043685,215.7482543267574
