Date,Total_Gas_to_Power_Demand
2017-06-25,114.371364
2017-06-26,198.404425
2017-06-27,204.949343
2017-06-28,182.89777
2017-06-29,170.952161
2017-06-30,165.431792
2017-07-01,105.460645
2017-07-02,90.638792
2017-07-03,175.097996
2017-07-04,196.517452
2017-07-05,213.239915
2017-07-06,215.857256
2017-07-07,209.960156
2017-07-08,151.908744
2017-07-09,143.017346
2017-07-10,217.924818
2017-07-11,214.206967
2017-07-12,205.011206
2017-07-13,198.804527
2017-07-14,189.045208
2017-07-15,130.226687
2017-07-16,101.690709
2017-07-17,185.508253
2017-07-18,195.926538
2017-07-19,197.931136
2017-07-20,203.769132
2017-07-21,182.169004
2017-07-22,138.324042
2017-07-23,126.915064
2017-07-24,193.617502
2017-07-25,180.109825
2017-07-26,168.698052
2017-07-27,171.969584
2017-07-28,146.13475
2017-07-29,120.044648
2017-07-30,99.591714
2017-07-31,167.24078
2017-08-01,189.809455
2017-08-02,186.850058
2017-08-03,152.216838
2017-08-04,149.664778
2017-08-05,129.442243
2017-08-06,110.183791
2017-08-07,167.317411
2017-08-08,170.970135
2017-08-09,158.893166
2017-08-10,168.737996
2017-08-11,136.53522
2017-08-12,94.621121
2017-08-13,93.128154
2017-08-14,120.501832
2017-08-15,117.360388
2017-08-16,143.046885
2017-08-17,136.628592
2017-08-18,130.888372
2017-08-19,90.312827
2017-08-20,104.067399
2017-08-21,149.986226
2017-08-22,156.828112
2017-08-23,162.927945
2017-08-24,167.274574
2017-08-25,171.809366
2017-08-26,137.348638
2017-08-27,117.689433
2017-08-28,172.090559
2017-08-29,188.336493
2017-08-30,191.942567
2017-08-31,193.854018
2017-09-01,185.287246
2017-09-02,106.699966
2017-09-03,93.50955
2017-09-04,176.48189
2017-09-05,179.299939
2017-09-06,162.956924
2017-09-07,169.856906
2017-09-08,153.520274
2017-09-09,110.200786
2017-09-10,82.581547
2017-09-11,115.670174
2017-09-12,139.145938
2017-09-13,139.084301
2017-09-14,144.026149
2017-09-15,166.741251
2017-09-16,125.658674
2017-09-17,112.875203
2017-09-18,196.847035
2017-09-19,194.348728
2017-09-20,183.440861
2017-09-21,188.948054
2017-09-22,185.307696
2017-09-23,131.485875
2017-09-24,122.702357
2017-09-25,205.581358
2017-09-26,212.961012
2017-09-27,195.877566
2017-09-28,201.276032
2017-09-29,185.666746
2017-09-30,153.37995
2017-10-01,106.519175
2017-10-02,160.346877
2017-10-03,171.370513
2017-10-04,182.129735
2017-10-05,169.693358
2017-10-06,179.91358
2017-10-07,136.030632
2017-10-08,149.483269
2017-10-09,218.605288
2017-10-10,195.406655
2017-10-11,186.817273
2017-10-12,198.11164
2017-10-13,194.822957
2017-10-14,144.136991
2017-10-15,130.543841
2017-10-16,199.04626
2017-10-17,220.993474
2017-10-18,247.09599
2017-10-19,235.729242
2017-10-20,213.833481
2017-10-21,141.724096
2017-10-22,126.977145
2017-10-23,214.773857
2017-10-24,206.296115
2017-10-25,205.23529
2017-10-26,239.052606
2017-10-27,207.183764
2017-10-28,140.998693
2017-10-29,146.802646
2017-10-30,226.19631
2017-10-31,220.538442
2017-11-01,193.901663
2017-11-02,241.558315
2017-11-03,247.403688
2017-11-04,173.48656
2017-11-05,157.645777
2017-11-06,241.670736
2017-11-07,261.62671
2017-11-08,261.58567
2017-11-09,255.327044
2017-11-10,222.088186
2017-11-11,195.76028
2017-11-12,154.960421
2017-11-13,234.488704
2017-11-14,256.802794
2017-11-15,264.235177
2017-11-16,250.895214
2017-11-17,230.813619
