,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Ireland,Total,Industrial,LDZ,Gas_to_Power,Slovakia_Austria,Russia_NordStream_Germany,Norway_Europe,Netherlands_Production,GB_Production,LNG_Total,Algeria_Italy,Libya_Italy,Spain_France,Denmark_Germany,Czech_Poland_Germany,Austria_Hungary_Export,Slovenia_Austria,MAB_Austria,TAP_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2016-10-18,129.6,50.82,191.21,104.3,207.5,24.94,237.54,8.47,2.14,7.94,964.45,291.79,464.98,202.51,120.46842069362104,121.0907836854458,320.16744845543576,116.92633345282822,101.11,65.44746638020277,61.060636763664334,11.764142362134905,-10.826079697258772,0.9464535652771592,50.722292924927146,-7.340446943454445,-6.612811333380639,-10.55489815992117,0.0,2.299997618049383,15.919410786079617,13.867649274585396,966.4567998282364
2016-10-19,140.7,55.23,192.2,109.34,220.89,22.89,258.99,10.03,2.39,9.54,1022.2,301.65,502.14,213.93,118.27578660074622,121.55414684193582,309.3469550736338,122.17969164864718,99.85000000000002,62.31889668584987,61.13464577792734,11.38117003148049,-9.990535108029842,0.4229995619282126,51.64828287503347,-7.248265220738947,-6.653084018945694,-11.481624472901226,0.0,2.3327248568832872,16.078192439822107,13.863012915750591,955.0129964890224
2016-10-20,144.21,54.9,196.37,115.07,222.16,24.26,273.82,10.34,2.45,9.71,1053.3,307.62,524.97,215.75,118.41296827685834,121.57105591533332,327.1409480874024,131.0205915836394,95.32999999999998,60.5767347087361,61.59555439150482,12.156287410562486,-12.69107776580751,1.3025441055893898,60.233437620338094,-8.688900092408062,-6.841811096221209,-11.507624445974828,0.0,2.3509066562354564,16.148856003004312,14.188312578859923,982.2987839376524
2016-10-21,144.13,55.64,193.84,110.43,222.28,25.26,282.37,11.0,2.61,9.51,1057.08,297.57,545.68,209.43,119.7647850586921,121.57141955132036,322.64796354018154,131.3145003701672,90.11,65.42206551586538,59.13202057918236,12.967541115856916,-14.361348763294515,0.3249087544232606,61.939554035247895,-8.501173014096917,-6.923447375312447,-9.258354048117996,0.0,2.4118156840652225,16.20091958544925,14.328612433560938,979.0917830231904
2016-10-22,133.21,51.87,166.63,100.89,214.07,22.59,262.67,9.99,2.05,5.67,969.64,259.91,526.1,179.14,121.2133290130794,121.5502377550751,319.93803143292143,106.117526464954,96.98,57.36416621985734,53.513562761472166,14.458730480624736,-9.52562649859488,2.57072461040318,58.33880321884524,-8.644445592992007,-6.653265836939216,-11.920169473275545,0.0,2.4063611442595723,16.080628800935298,14.458339571938664,948.2469340725644
2016-10-23,127.27,55.7,159.98,102.72,207.97,22.43,265.46,10.0,2.12,4.92,958.55,252.82,536.15,164.7,119.0573312458992,121.56051047170908,327.4086269065939,116.1516069824323,106.31999999999998,48.34841170301289,53.25626302793994,12.97034111295715,-9.36108121445775,2.367179366655648,58.18290338030009,-8.728718232989312,-6.286538944005966,-12.047351159743965,0.0,2.4090884141623974,16.077792440236358,14.49083044738099,962.1771959480828
2016-10-24,130.85,58.84,201.49,120.66,238.76,23.33,277.79,9.32,2.44,9.41,1072.88,295.09,552.39,220.34,121.56705591947586,121.55060139106214,322.5958996781163,130.02531988710166,105.58,52.51411539237351,58.70923010794669,12.768450412950664,-11.711078780725598,0.607181189365685,59.243611372706255,-8.521900265358388,-6.632993130661546,-10.55607997687906,0.0,2.5672700685262684,15.71450190738067,14.45461230307147,980.4757974764524
2016-10-25,130.06,56.42,199.53,119.2,231.75,23.35,277.26,8.46,2.29,10.57,1058.87,304.14,526.63,222.73,122.64460025808216,121.54823775714635,327.8555398720249,126.69114152190087,107.46,55.458712021809816,59.1271024024576,12.291787270234526,-13.543531428433957,-1.4056349079161885,58.734511899945886,-8.5576275010854,-6.613084060370922,-11.114715761974454,0.0,2.523633750081062,15.85091085702032,14.297921556254474,983.2495055071768
2016-10-26,135.64,55.3,195.19,110.86,214.74,20.95,276.33,8.3,2.5,8.42,1028.22,300.49,507.84,214.98,121.75205572788416,121.45305603753776,326.27684058526387,133.31458920790254,104.59,55.96797456116751,58.87927538638785,12.140896517410876,-12.57507788594067,-1.33054407659173,60.91549145943597,-8.276445974104107,-6.528720511376858,-11.045624924436211,0.0,2.429088393449783,16.118001489503683,14.423648698774723,988.5045046922692
2016-10-27,138.18,52.35,182.77,99.27,208.92,24.64,258.7,9.67,2.57,7.51,984.58,290.41,497.03,191.96,121.11142002771052,121.39996518342942,307.1947996190555,114.0873363929838,107.24,44.46862317565605,58.5615484427087,15.478847605977208,-11.334624625138938,-1.2336350860446692,58.59012114039062,-8.50035483312607,-6.82799292871356,-11.133988469287754,0.0,2.520906480178237,16.049156106256692,14.414494162800908,942.0866223948366
2016-10-28,139.12,50.32,181.3,95.1,206.9,27.69,245.03,10.6,2.5,9.67,968.24,283.55,483.18,195.57,120.38996622941644,121.81669202458112,312.35838665958715,120.85805665373802,107.77,35.19410531114414,58.66491197202578,16.722882681251317,-10.114262252621351,-1.1864533167257905,58.778302763685545,-8.74790003130585,-6.805265679523349,-9.781262597486377,0.0,2.7572698717564346,15.690601932132244,14.942329979793726,949.3083622014492
2016-10-29,126.81,45.64,155.27,82.74,196.09,25.56,230.52,11.48,1.85,6.37,882.31,261.78,446.95,168.93,119.32678551229834,125.904233245939,332.74368706641275,108.5626148418337,111.68999999999998,48.79897311218679,41.85060211273208,12.19618736924082,-9.61180822752416,-0.0030909058898687,58.22367606534736,-9.839262537419796,-6.038084655858576,-11.401715464748442,0.0,2.8672697578370574,16.037728845363855,15.1885479066208,956.4963440443717
2016-10-30,117.61,43.79,139.96,91.35,194.97,22.5,229.68,9.56,1.9,9.33,860.66,261.87,449.41,144.82,119.98451210386304,121.54978321009128,327.9265226937518,112.45079263329504,105.83,44.9077989588961,41.5924114710316,15.12093888572976,-9.218535907536744,0.0,60.22391035747752,-9.4331720488891,-5.913812057286502,-11.629078865647315,0.0,2.726360812857747,16.00911069318354,14.55303038296476,946.6805733237824
2016-10-31,130.89,45.18,175.28,100.41,208.59,24.51,249.89,11.2,2.05,8.49,956.49,283.75,481.95,185.76,119.59860341261329,121.56714682847262,329.4644684818268,123.12987248279154,101.57,55.567135497339066,58.91763898302093,16.12399239239022,-9.381172102741896,0.0,55.72915137602908,-8.945990735247731,-6.039902835793793,-10.98944316443801,0.0,2.7318153526633977,16.141446919768303,13.784294815455375,978.9690577041492
2016-11-01,132.02,45.23,159.24,105.34,235.96,25.87,246.64,10.98,0.62,8.72,970.63,278.48,519.79,165.95,101.35516776064036,121.25105624673516,314.057557425832,116.35306131925434,103.78999999999998,42.28129781607762,44.08891797647923,16.625464600322395,-8.966172532528638,0.0,66.0861861045003,-9.871626140266656,-6.429175159923733,-8.82226359065622,0.0,2.746360792145133,16.119246942759307,12.210432809033245,922.8755123704038
2016-11-02,158.73,52.82,205.98,108.42,265.39,32.66,279.07,11.01,2.11,11.25,1127.43,311.86,605.88,205.28,107.37016153132171,120.35414808469268,293.46886209711806,135.84895021960142,104.05,52.453150907790665,59.73885631436036,15.119238887490331,-10.291989341288806,-0.0007272719740867,73.84647806769536,-9.877171589069068,-6.8017202286496765,-7.276356100738049,0.0,2.798178920298815,16.19799231575355,14.18639439902827,961.1844472134312
2016-11-03,176.03,57.4,215.6,117.23,273.42,30.68,306.4,11.67,2.44,10.57,1201.44,320.13,653.18,222.69,105.1568001871854,120.46169342786074,311.0201699005514,139.3562193146348,94.42,50.01252617300823,61.29227288741097,16.043265203266593,-10.761988854542375,0.0,71.51117139530405,-9.859807970687749,-6.835902011431753,-7.69271930590272,0.0,2.7081790135055783,16.228655920360982,14.165821693061297,967.2263569735856
2016-11-04,173.28,58.7,214.74,114.0,255.45,31.17,304.9,11.57,2.2,9.78,1175.79,311.68,651.46,207.6,99.21935179074109,120.3709662490934,298.7100893375054,147.64230164239555,101.13,68.66287957502604,62.14781745592728,16.025601585195957,-9.704626313216984,-1.0624534451439975,69.757855029276,-9.893898844473064,-7.246901585787534,-7.619537563510239,0.0,2.768178951367736,16.107783318267764,14.264657954339684,981.2800651370044
2016-11-05,151.68,49.33,183.36,104.87,241.34,25.9,275.3,9.77,2.34,5.95,1049.85,272.62,623.24,149.63,96.13244589672983,119.94787577816844,285.7568813457504,143.80476016213,100.85,47.32314793746844,55.56116973181442,16.24574681175202,-8.070991641424596,-1.119362477116287,70.03929110144824,-9.933171531073748,-6.542993223868311,-8.760627290852367,0.0,2.7527244219183924,15.643701980703325,14.19680347915739,933.8274024827058
2016-11-06,165.08,54.39,159.71,107.11,261.12,26.09,290.17,11.86,1.71,5.87,1083.11,275.81,664.11,138.73,91.12917835099996,119.933603065677,316.72546391947344,150.59575312916192,104.85,38.62949331488609,56.222259956259286,14.509130428428946,-8.270809616304934,-1.1999987572431563,71.2799170893438,-9.919989726543427,-6.364902499213814,-8.803718155317007,0.0,2.7754516711086032,15.802865452232211,14.17225805003196,962.0659556729807
2016-11-07,206.75,66.62,222.22,134.85,301.47,33.36,350.2,14.24,1.87,14.11,1345.7,334.56,788.57,217.82,94.06135713252424,120.59169329322876,324.06539616136547,157.41492788518966,93.69,65.43290059639142,56.1349782284692,15.976474363346398,-9.39989935607463,-0.0062727207764983,69.37377360886113,-10.002989640586078,-7.302537891805172,-7.049810880810022,0.0,2.687269944250584,15.919292604383829,14.326276072344184,995.9128294003024
