Date,Total_Gas_to_Power_Demand
2017-07-19,176.35
2017-07-20,178.88
2017-07-21,160.36
2017-07-22,124.39
2017-07-23,115.9
2017-07-24,170.57
2017-07-25,157.5
2017-07-26,146.36
2017-07-27,149.97
2017-07-28,133.93
2017-07-29,111.02
2017-07-30,93.0
2017-07-31,154.55
2017-08-01,169.31
2017-08-02,166.19
2017-08-03,142.1
2017-08-04,139.98
2017-08-05,120.41
2017-08-06,101.94
2017-08-07,152.7
2017-08-08,154.94
2017-08-09,145.15
2017-08-10,147.23
2017-08-11,115.52
2017-08-12,85.18
2017-08-13,83.99
2017-08-14,104.11
2017-08-15,102.51
2017-08-16,119.34
2017-08-17,120.12
2017-08-18,114.63
2017-08-19,81.93
2017-08-20,95.12
2017-08-21,131.82
2017-08-22,136.47
2017-08-23,142.79
2017-08-24,146.71
2017-08-25,151.23
2017-08-26,122.34
2017-08-27,107.98
2017-08-28,148.83
2017-08-29,165.7
2017-08-30,172.17
2017-08-31,171.0
2017-09-01,160.43
2017-09-02,94.34
2017-09-03,82.87
2017-09-04,153.88
2017-09-05,155.72
2017-09-06,141.35
2017-09-07,145.17
2017-09-08,131.95
2017-09-09,96.54
2017-09-10,74.96
2017-09-11,102.44
2017-09-12,122.51
2017-09-13,125.35
2017-09-14,125.95
2017-09-15,147.19
2017-09-16,112.72
2017-09-17,101.97
2017-09-18,173.05
2017-09-19,168.4
2017-09-20,157.48
2017-09-21,165.01
2017-09-22,158.82
2017-09-23,112.81
2017-09-24,109.32
2017-09-25,176.77
2017-09-26,183.1
2017-09-27,165.76
2017-09-28,171.06
2017-09-29,155.88
2017-09-30,131.99
2017-10-01,95.26
2017-10-02,141.65
2017-10-03,149.21
2017-10-04,161.33
2017-10-05,149.77
2017-10-06,157.21
2017-10-07,118.86
2017-10-08,132.43
2017-10-09,191.43
2017-10-10,170.7
2017-10-11,166.83
2017-10-12,175.52
2017-10-13,169.68
2017-10-14,126.02
2017-10-15,115.81
2017-10-16,174.81
2017-10-17,196.41
