Date,Total_Industrial_Demand
2017-06-25,204.981177
2017-06-26,255.295409
2017-06-27,251.114979
2017-06-28,254.434055
2017-06-29,252.045328
2017-06-30,241.55364
2017-07-01,210.993169
2017-07-02,209.518991
2017-07-03,245.924892
2017-07-04,255.243595
2017-07-05,255.84056
2017-07-06,253.131263
2017-07-07,247.548248
2017-07-08,213.626394
2017-07-09,213.089036
2017-07-10,251.47916
2017-07-11,257.378019
2017-07-12,253.714201
2017-07-13,259.079914
2017-07-14,246.061493
2017-07-15,210.193359
2017-07-16,207.540014
2017-07-17,248.488429
2017-07-18,242.827774
2017-07-19,242.856061
2017-07-20,247.401767
2017-07-21,237.211506
2017-07-22,180.962265
2017-07-23,201.233745
2017-07-24,243.944047
2017-07-25,247.318444
2017-07-26,239.298397
2017-07-27,237.586574
2017-07-28,219.904483
2017-07-29,196.229534
2017-07-30,189.583249
2017-07-31,225.372036
2017-08-01,228.372484
2017-08-02,228.073139
2017-08-03,216.746473
2017-08-04,208.790856
2017-08-05,190.959361
2017-08-06,189.512261
2017-08-07,213.357917
2017-08-08,217.211834
2017-08-09,214.705719
2017-08-10,228.628049
2017-08-11,221.273188
2017-08-12,190.22662
2017-08-13,188.530456
2017-08-14,208.489636
2017-08-15,208.245333
2017-08-16,220.582056
2017-08-17,214.870189
2017-08-18,210.822001
2017-08-19,190.518174
2017-08-20,193.519852
2017-08-21,230.116112
2017-08-22,238.570402
2017-08-23,239.287068
2017-08-24,241.477343
2017-08-25,237.326774
2017-08-26,187.316697
2017-08-27,204.857921
2017-08-28,250.911423
2017-08-29,252.485979
2017-08-30,252.778178
2017-08-31,262.888615
2017-09-01,257.429366
2017-09-02,220.289578
2017-09-03,218.272722
2017-09-04,262.400426
2017-09-05,262.231854
2017-09-06,260.979046
2017-09-07,258.876061
2017-09-08,253.430371
2017-09-09,224.766966
2017-09-10,218.364002
2017-09-11,252.324252
2017-09-12,260.43849
2017-09-13,260.538621
2017-09-14,274.473167
2017-09-15,274.898847
2017-09-16,239.987416
2017-09-17,237.806283
2017-09-18,284.869422
2017-09-19,291.309112
2017-09-20,286.762233
2017-09-21,287.436282
2017-09-22,281.414937
2017-09-23,242.585608
2017-09-24,237.296427
2017-09-25,285.295992
2017-09-26,286.595907
2017-09-27,287.364606
2017-09-28,283.258134
2017-09-29,270.967522
2017-09-30,242.429233
2017-10-01,229.374667
2017-10-02,257.647477
2017-10-03,261.825994
2017-10-04,278.627618
2017-10-05,283.701288
2017-10-06,289.105462
2017-10-07,255.234912
2017-10-08,259.248078
2017-10-09,301.376219
2017-10-10,288.489826
2017-10-11,283.032544
2017-10-12,286.673166
2017-10-13,279.807651
2017-10-14,247.073599
2017-10-15,243.170728
2017-10-16,277.866937
2017-10-17,287.384167
2017-10-18,294.001308
2017-10-19,288.316332
2017-10-20,279.703927
2017-10-21,244.896693
2017-10-22,250.996491
2017-10-23,299.140989
2017-10-24,291.895623
2017-10-25,293.147424
2017-10-26,292.925378
2017-10-27,287.584961
2017-10-28,257.523271
2017-10-29,257.551683
2017-10-30,305.331997
2017-10-31,293.956409
2017-11-01,290.3623
2017-11-02,310.809865
2017-11-03,308.765696
2017-11-04,277.698403
2017-11-05,280.345311
2017-11-06,335.12472
2017-11-07,336.571833
2017-11-08,337.897365
2017-11-09,330.584502
2017-11-10,315.72806
2017-11-11,268.482609
2017-11-12,293.581573
2017-11-13,346.157755
2017-11-14,342.791296
2017-11-15,348.78313
2017-11-16,343.203465
2017-11-17,333.261951
2017-11-18,284.890711
2017-11-19,286.108997
2017-11-20,344.252832
2017-11-21,328.842673
2017-11-22,315.575639
2017-11-23,315.640318
2017-11-24,326.207119
2017-11-25,304.261796
2017-11-26,298.248742
2017-11-27,341.390015
2017-11-28,352.974648
2017-11-29,369.435063
2017-11-30,368.232345
2017-12-01,364.244121
