Date,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Total,Industrial,LDZ,Gas-to-Power
2017-07-11,64.46834232544526,29.6477874776274,157.93610916361956,76.18610291743279,138.87,13.586349565908312,151.25466153768454,3.671996197164056,1.3393622492775321,10.13,647.0907114341595,257.37801929273155,202.2317800804153,187.48091206101253
2017-07-12,64.53225135016814,29.919605377942325,157.81736383205055,75.72046703602373,132.66,15.52634755678475,150.86175285368412,3.4721782222837234,1.439271236717701,9.29,641.2392374656549,253.7142013062097,206.55797187179923,180.9670642876461
2017-07-13,62.61958969461769,29.98724167153239,160.11069782063737,76.30783006409555,125.38,11.057261276021597,159.3762894903049,3.462723686620592,1.3811803877875208,7.4,637.0828140916176,259.0799135315251,201.86713706247508,176.13576349761746
2017-07-14,52.06783698598444,29.03378811350465,151.4333158981189,73.50356024101376,118.83,10.771807026192546,155.38565725949408,3.8962050558753276,1.333544073484838,7.39,603.6457146536686,246.0614927000612,195.06581640880253,162.51840554480478
2017-07-15,47.52607805321068,24.29315665941685,110.72548532916903,57.58548581718653,96.11000000000001,9.03089973822236,133.43631635456532,3.146042196404192,1.4512712242901327,5.29,488.59473537246515,210.19335913423077,167.3150788691856,111.08629736904874
2017-07-16,43.87241820069328,22.89333992729336,88.23741770943552,56.92012286989391,104.44999999999999,9.139081444367767,126.0755967048332,3.027578682725128,1.1111806674078109,6.04,461.76673620664997,207.54001422844192,166.00084860980138,88.22587336840667
2017-07-17,62.48831710329503,28.109152707450093,139.64643719589412,72.65492475625128,122.39,13.116350052654743,150.50711685732006,3.4052237461693586,1.4171803505048157,8.26,601.9947027695395,248.4884293245383,191.58548070831822,161.92079273668304
2017-07-18,63.131534618976715,27.024881103083494,156.37775623204487,69.81429133446515,114.33,14.504530433192851,144.26130514386298,3.4866145709693477,1.2989986547157168,8.13,602.359912091311,242.82777365857476,188.42493712882924,171.10720130390712
2017-07-19,63.17732548064515,26.837154024772346,159.26215324487163,67.32620300211757,119.24000000000001,15.360893182680009,140.0687640312463,3.4100691956967175,1.3426349731609226,8.01,604.0351971351905,242.85606146226786,184.83275067521927,176.3463849977035
2017-07-20,64.38463332122787,26.854063098169863,160.86157886118292,72.22047066073118,122.09,17.02998236320913,142.28076174043116,3.5855417412445014,1.3243622648119926,9.23,619.8613940510086,247.40176731673853,193.5757642246425,178.88386250962765
2017-07-21,60.43908286191076,25.235337501846253,155.08023030307663,67.09102142749727,113.84,15.136347960680723,134.20886100903897,3.391360124163338,1.3584531385973095,6.47,582.2506943268113,237.21150584010968,184.6793977384664,160.3597907482352
2017-07-22,46.77565155764893,23.490612036012113,118.69768616381361,28.510697746142743,111.96000000000001,11.317261006757617,110.07906781680137,2.4649156290732286,1.2221805524528027,7.82,462.3380725087024,180.96226543720104,156.9892810331799,124.38652603832148
2017-07-23,44.748708202270414,22.91597626748681,111.86277506044655,54.522034444339575,109.76,11.56816983781755,112.72088326267155,2.647851803255083,1.1242715629413724,6.95,478.8206704412289,201.23374540816138,161.68700216697084,115.89992286609673
