,Demand,,,,,,,,,,Demand (Net),,,,
,,,,,,,,,,,,,,,
,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Island of Ireland,Total,Industrial,LDZ,Gas-to-Power
,,,,,,,,,,,,,,,
42675,132.0248909,45.23481818,163.5636455,105.3365455,235.96,25.86818182,246.6400909,10.97838182,0.622090909,0,8.72,974.9486455,251.0721394,524.1148909,193.3644333
42676,158.7349818,52.82272727,211.1106182,108.4199091,265.39,32.65545455,279.0662727,11.00610909,2.112727273,0,11.25,1132.5688,289.5502273,611.0092818,227.5919273
42677,176.0348818,57.40145455,219.7861818,117.2328182,273.42,30.67727273,306.3955455,11.67029091,2.437272727,0,10.57,1205.625718,290.9996424,657.3711727,251.8178121
42678,173.2758364,58.69627273,219.0112091,114.0018182,255.45,31.17272727,304.9021818,11.56819091,2.201181818,0,9.78,1180.059418,289.3683939,655.7296636,229.907997
42679,151.6804,49.32918182,187.9497818,104.8728182,241.34,25.89818182,275.3044545,9.774772727,2.341636364,0,5.95,1054.441227,252.5528636,627.8249364,169.6890636
42680,165.0759545,54.39036364,162.4213818,107.1086364,261.12,26.09454545,290.1727273,11.85668182,1.710818182,0,5.87,1085.821109,260.5023727,666.8189455,154.0325182
42681,206.7537455,66.62418182,227.8794636,134.8462727,301.47,33.36090909,350.2051818,14.23859091,1.872272727,0,14.11,1351.360618,310.219797,794.2323636,242.1646394
42682,207.8695,69.31390909,246.2267091,147.832,318.05,36.88636364,375.4409091,16.16492727,1.700727273,0,11.03,1430.515045,316.6356515,852.3375182,256.1457848
42683,201.1989,68.93136364,260.1463,146.6329091,307.18,35.63454545,381.8606364,14.35780909,2.398363636,0,12.5,1430.840827,312.4877636,859.1701455,253.6510091
42684,182.3816636,64.06690909,262.5133091,141.8774545,297.64,34.51727273,382.5998182,13.00172727,2.305363636,0,11.98,1392.883518,311.8343879,826.7038909,249.3871485
42685,175.1941818,64.589,260.8081636,142.346,285.51,33.21454545,380.4324545,13.43017273,2.864636364,0,8.02,1366.409155,301.0983,820.9082182,240.3216364
42686,176.6547182,64.55354545,230.4127636,134.7867273,256.33,31.94818182,361.5848182,13.23711818,1.925545455,0,9.68,1281.113418,277.6231879,788.7032909,211.3463939
42687,165.6463909,62.57427273,222.9919909,134.4798182,252.65,32.45181818,370.8603636,13.14893636,1.699363636,0,7.61,1264.112955,286.4307061,775.7368455,198.7200394
42688,193.6353455,67.53936364,281.2406364,146.7851818,248.7,36.83909091,402.3269091,14.59755455,2.430090909,0,8.66,1402.754173,319.246097,833.0726636,246.8064121
42689,182.0414273,60.82981818,292.9545091,120.2176364,226.29,39.56545455,370.6339091,13.16280909,2.686909091,0,9.06,1317.442473,309.7638939,761.2950091,242.4417515
42690,172.0364182,56.91309091,292.3998909,106.5957273,232.17,38.89272727,318.0065455,11.19226364,1.451545455,0,8.98,1238.638209,290.8385121,706.8320636,237.4744515
42691,165.7532182,56.02009091,288.4843545,109.6869091,271.97,33.43454545,286.3394545,10.28788182,1.626727273,0,11.19,1234.793182,285.5686152,718.4997182,227.2441212
