Date,France_Industrial,Belgium_Industrial,Italy_Industrial,GB_Industrial,Germany_Industrial,Total_Industrial
2016-10-03,34.1435373671405,10.099171359159053,37.94257888727785,10.26,102.50047732267902,240.69953573401574
2016-10-04,34.325091724571585,10.623352634482085,38.50090558178425,10.22,128.3281972511001,268.2584083736293
2016-10-05,35.05027279173285,11.215988384366035,39.64223167251796,10.92,134.41079055848346,275.5159648254894
2016-10-06,36.24764427896962,10.573989049240947,38.94756875556931,10.86,136.96180522601117,281.9905026402812
2016-10-07,36.24061701352,9.844171623244883,38.12146052020416,10.76,130.70108392760528,277.6126429247245
2016-10-08,34.2305100043416,10.22789849857241,32.49874816144556,11.01,115.69151733199132,249.8820806713767
2016-10-09,33.694628741135446,10.064080486409367,31.037676947304607,10.91,117.8320741812736,250.54504803824352
2016-10-10,37.82239719356001,10.981806808710097,39.47255912096352,11.61,138.0087694237009,293.91056544507745
2016-10-11,38.17821500688195,10.947079571947455,40.721685100056234,11.64,141.84657778248754,300.1311350036335
2016-10-12,39.393559202778334,11.307624653100968,41.60862963605374,11.86,145.32655520831236,302.69222269983777
2016-10-13,39.648631665889916,11.237351998604835,41.80015671042949,11.9,143.26249507668427,296.3707670187291
2016-10-14,38.28732398479432,11.134170287281274,39.59864080857113,11.92,137.19072463887744,286.7942638676111
2016-10-15,35.95279003887549,10.652261695452037,33.228601951040325,11.71,118.68326094404051,254.27586901091155
2016-10-16,34.687900439744446,10.534807271637023,31.63451269283891,11.3,117.42495628475208,249.55722205610905
2016-10-17,36.89534360819161,10.952806838743388,39.88624960162341,11.57,138.27442658295297,291.57840707146636
2016-10-18,38.574750959853084,11.160806623332201,40.643494271942224,11.58,138.39133730562216,296.9641487115595
2016-10-19,39.282650226730105,11.676169725969434,40.42958540256396,11.91,145.05045905669405,306.13344093205035
2016-10-20,40.23241287948936,12.033714810229837,40.68582150083408,11.38,147.65846329740623,312.5787133771535
2016-10-21,40.20367654561326,11.572260742671789,39.67766799945533,9.52,144.41986967707982,301.9745981857929
2016-10-22,38.025024256440254,11.210715662553906,34.07803743497431,8.3,125.30763249893673,264.3986334112566
2016-10-23,36.05169902735129,11.019079497382046,31.789267078024892,8.06,125.69358652178198,257.7022217930004
2016-10-24,37.5040429778032,11.649442480921746,39.36215014439747,10.06,143.88151283644697,300.156634138694
2016-10-25,37.83258809209689,11.7672605407238,39.6193680598326,10.45,148.07002087004298,309.50980995476505
2016-10-26,38.677378126296404,11.641897034190595,39.58621354871392,10.93,146.26390955128892,305.40306515208704
2016-10-27,38.701132647150004,11.380715486496687,39.71510432432145,10.62,142.5688444469087,295.5886515185982
2016-10-28,38.510951025926325,11.36507913905382,39.45563186576665,10.53,137.50394260001556,289.4899142855346
2016-10-29,39.0570868239671,11.178533877700568,33.27746553679928,11.27,127.4239986183457,266.4383117768213
2016-10-30,36.29506241168007,10.505807301670313,30.505177498777954,10.83,128.360944664998,266.43512197779376
2016-10-31,39.35208651845605,10.747534324057401,34.54008241101131,11.47,136.5952488000635,288.78780306331475
2016-11-01,40.61087612390444,10.932806859456003,31.97188507071808,11.88,135.25448070196435,284.8784471408449
2016-11-02,44.591490183272214,11.688896985515953,40.30992189012766,12.07,156.70857512648217,316.27819509846154
2016-11-03,45.74110717451051,11.94362399443984,40.67529423900917,11.97,158.1265578842163,325.56416051339056
2016-11-04,45.06853514377475,12.078442036636174,40.23146742592305,11.77,154.664692447152,316.7339913378768
2016-11-05,42.06306552906185,11.225533829025924,34.18344641671851,11.02,132.00640449965562,276.9905839439128
2016-11-06,43.034209977859256,11.2248974660486,32.419448243571075,11.03,137.38791297459974,280.27469460134506
2016-11-07,48.38019535047785,12.082623850487172,41.547084245246644,12.33,167.81877903399615,339.30380511708483
2016-11-08,48.41307713460624,12.196623732425273,42.92741917936429,12.91,170.03985965811466,349.74655055452513
2016-11-09,47.76475962420628,12.167351035468279,43.63463662876561,12.56,169.19423312661985,346.1271901694898
2016-11-10,45.5069528715536,11.89189677528292,43.73310016315728,12.03,169.41770366045458,343.7149537931524
2016-11-11,43.07873720447272,11.383806392386557,42.430383330474044,11.77,164.6814816855639,331.3378940075464
2016-11-12,42.717864850930866,11.22180656015873,36.11163532891572,11.31,151.06367016097346,302.92019733379675
2016-11-13,41.894447521869836,10.911534154213966,34.10948285695389,11.67,159.2249581151437,310.1739138734315
2016-11-14,46.54211543586999,11.53589714396745,43.2851915361166,11.7,176.7658505615033,348.57517565628956
2016-11-15,44.901726225618276,11.593169811926781,44.693317350544035,11.35,167.79999334522526,338.7841462048423
2016-11-16,44.66728101387173,11.573078923642635,44.48629029222056,10.94,153.27848440616762,320.2891682289537
2016-11-17,44.371326774916795,11.497169911347331,44.06431800195575,11.63,148.2119155963734,310.52576863429624
2016-11-18,45.20864408958256,12.428532583162188,42.21598355251327,12.12,149.7425769901052,308.6591431447349
2016-11-19,42.90382829470485,11.410715455427765,35.51403594780862,11.5,136.8551236528065,279.88893288675956
2016-11-20,40.98832118755579,10.566352693513036,33.94832847839594,11.57,129.37799568925053,265.94159351463617
2016-11-21,43.05282814039588,10.95489774566889,42.87546468771547,11.51,145.9504512866568,304.72140786944
2016-11-22,44.204017857278146,11.041534019581974,42.7807647857897,12.38,149.67831499304808,314.4803025945399
2016-11-23,44.23325419063642,11.160988441325724,42.479283279831705,12.42,149.71909631582352,315.0792924715512
2016-11-24,44.33583590258136,11.483169925846159,41.78251127415821,12.23,155.60837232404018,320.2816508125734
